ResourceName,ParentAgencyName
DSHS - Texas Cancer Registry,Texas Department of State Health Services (DSHS)
DSHS - Texas Center For Nursing Workforce Studies,Texas Department of State Health Services (DSHS)
DSHS - Texas Comprehensive Cancer Control Program,Texas Department of State Health Services (DSHS)
DSHS - Texas Diabetes Council,Texas Department of State Health Services (DSHS)
DSHS - Texas Disaster Volunteer Registry,Texas Department of State Health Services (DSHS)
DSHS - Texas Early Hearing Detection and Intervention (TEHDI),Texas Department of State Health Services (DSHS)
DSHS - Texas Ebola Website,Texas Department of State Health Services (DSHS)
DSHS - Texas Environmental Health Institute (TEHI),Texas Department of State Health Services (DSHS)
DSHS - Texas Fluoridation Program,Texas Department of State Health Services (DSHS)
DSHS - Texas Health Care Information Collection,Texas Department of State Health Services (DSHS)
DSHS - Texas Health Indicators,Texas Department of State Health Services (DSHS)
DSHS - Texas Health Steps,Texas Department of State Health Services (DSHS)
DSHS - Texas HIV Medication Program (THMP),Texas Department of State Health Services (DSHS)
DSHS - Texas HIV State Pharmacy Assistance Program (SPAP),Texas Department of State Health Services (DSHS)
DSHS - Texas Medical Reserve Corps,Texas Department of State Health Services (DSHS)
DSHS - Texas Midwifery Board,Texas Department of State Health Services (DSHS)
"DSHS - Texas Nutrition, Physical Activity and Obesity Prevention (NPAOP) Program",Texas Department of State Health Services (DSHS)
DSHS - Texas P.R.I.D.E. Crisis Counseling Program,Texas Department of State Health Services (DSHS)
DSHS - Texas Public Health Information Network (TXPHIN),Texas Department of State Health Services (DSHS)
DSHS - Texas State Board of Examiners of Dietitians,Texas Department of State Health Services (DSHS)
DSHS - Texas State Board of Examiners of Marriage and Family Therapists,Texas Department of State Health Services (DSHS)
DSHS - Texas State Board of Examiners of Professional Counselors,Texas Department of State Health Services (DSHS)
DSHS - Texas State Board of Social Worker Examiners,Texas Department of State Health Services (DSHS)
DSHS - Texas Vaccine Education Online,Texas Department of State Health Services (DSHS)
DSHS - Texas Vaccines for Children (TVFC),Texas Department of State Health Services (DSHS)
DSHS - TexasFlu.org,Texas Department of State Health Services (DSHS)
DSHS - Tobacco Prevention and Control Program,Texas Department of State Health Services (DSHS)
DSHS - Tuberculosis (TB) Program,Texas Department of State Health Services (DSHS)
DSHS - Two Tiers Chemical Reporting,Texas Department of State Health Services (DSHS)
DSHS - Vision and Hearing Screening,Texas Department of State Health Services (DSHS)
DSHS - West Nile Virus Information,Texas Department of State Health Services (DSHS)
DSHS - WIC,Texas Department of State Health Services (DSHS)
DSHS - Woman's Right To Know,Texas Department of State Health Services (DSHS)
DSHS - Youth Camp Program,Texas Department of State Health Services (DSHS)
DSHS - Youth Empowerment Services (YES Waiver),Texas Department of State Health Services (DSHS)
DSHS - Zoonosis Control Branch,Texas Department of State Health Services (DSHS)
DSHS Alice - Case Management,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Alice - Children With Special Health Care Needs CSHCN Services Program,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Alice - Family Health Services,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Alice - Hansen's Disease,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Alice - Immunizations,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Alice - Tuberculosis Control,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Alice - WIC Program #88-04,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Atlanta - Seasonal Flu Vaccination,Texas Department of State Health Services (DSHS) - Health Service Region 4/5 North
DSHS Bandera - Adolescent/Adult Immunizations,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Bandera - AIDS/HIV Control,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Bandera - Epidemic Investigation,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Bandera - HIV Testing,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Bandera - Public Health Nursing,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Bandera - Sexually Transmitted Disease Control,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Bandera - Tuberculosis Control,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Bee - Immunizations,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Boerne - Adolescent/Adult Immunizations,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Boerne - AIDS/HIV Control,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Boerne - Childhood Immunizations,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Boerne - Epidemic Investigation,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Boerne - Hearing Screening,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Boerne - HIV Testing,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Boerne - Sexually Transmitted Disease Control,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Boerne - Sexually Transmitted Disease Screening,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Boerne - Tuberculosis Control,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Boerne - Tuberculosis Screening,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Boerne - Vision Screening,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Brewster - Alpine - WIC,Texas Department of State Health Services (DSHS) - Health Service Region 9/10
DSHS Culberson - Van Horn - Clinic Services,Texas Department of State Health Services (DSHS) - Health Service Region 9/10
DSHS Culberson - Van Horn - WIC,Texas Department of State Health Services (DSHS) - Health Service Region 9/10
DSHS Dallas - Call Center,Texas Department of State Health Services (DSHS) - Health Service Region 2/3
DSHS Dallas - Flu Fighters Tour,Texas Department of State Health Services (DSHS) - Health Service Region 2/3
DSHS Floresville - Adolescent/ Adult Immunizations,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Floresville - Childhood Immunizations,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Floresville - HIV Testing,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Floresville - Sexually Transmitted Disease Screening,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Goliad - Adolescent/Adult Immunizations,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Goliad - Childhood Immunizations,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Goliad - Disease/Disability Information,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Goliad - Flu Vaccines,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Goliad - Public Health Nursing,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Goliad - WIC,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Hallettsville - WIC and Clinic Services,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Harlingen - Immunization Division,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Harlingen - Zoonosis Control,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Howard - Clinic Services,Texas Department of State Health Services (DSHS) - Health Service Region 9/10
DSHS Jeff Davis - Ft. Davis - WIC,Texas Department of State Health Services (DSHS) - Health Service Region 9/10
DSHS Karnes - Adolescent/Adult Immunizations,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Karnes - Childhood Immunizations,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Karnes - Epidemic Investigation,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Kerrville - Adolescent/Adult Immunizations,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Kerrville - AIDS/HIV Control,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Kerrville - Childhood Immunizations,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Kerrville - Epidemic Investigation,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Kerrville - Hearing Screening,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Kerrville - HIV Testing,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Kerrville - Sexually Transmitted Disease Control,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Kerrville - Sexually Transmitted Disease Treatment,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Kerrville - Tuberculosis Clinics,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Kerrville - Tuberculosis Control,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Kerrville - Vision Screening,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Kingsville - Immunizations,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Kingsville - Seasonal Flu Shot,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
"DSHS Kingsville - Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS McMullen - Adult Immunizations,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS McMullen - Flu Vaccines,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS McMullen - Home Delivered Meals,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS McMullen - Preventative Health Care,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS McMullen - Texas Vaccines For Children (TVFC),Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Midland - Adolescent/Adult Immunization Program,Texas Department of State Health Services (DSHS) - Health Service Region 9/10
DSHS Midland - Case Management For Children And Pregnant Women (CPW),Texas Department of State Health Services (DSHS) - Health Service Region 9/10
DSHS Midland - Children With Special Health Care Needs,Texas Department of State Health Services (DSHS) - Health Service Region 9/10
DSHS Midland - HIV/STD,Texas Department of State Health Services (DSHS) - Health Service Region 9/10
DSHS Panola County - Immunizations,Texas Department of State Health Services (DSHS) - Health Service Region 4/5 North
DSHS Pearsall - Adolescent/Adult Immunizations,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Pearsall - AIDS/HIV Control,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Pearsall - Childhood Immunizations,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Pearsall - Epidemic Investigation,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Pearsall - Sexually Transmitted Disease Control,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Pearsall - Sexually Transmitted Disease Treatment,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Pearsall - Tuberculosis Clinics,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Pearsall - Tuberculosis Control,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Presidio - Marfa - WIC,Texas Department of State Health Services (DSHS) - Health Service Region 9/10
DSHS Presidio - WIC,Texas Department of State Health Services (DSHS) - Health Service Region 9/10
DSHS Region 1 - Regional Public Health Services,Texas Department of State Health Services (DSHS) - Health Service Region 1
DSHS Region 2/3 - Administration,Texas Department of State Health Services (DSHS) - Health Service Region 2/3
DSHS Region 2/3 - Regional Public Health Services,Texas Department of State Health Services (DSHS) - Health Service Region 2/3
DSHS Region 3 Clinics,Texas Department of State Health Services (DSHS) - Health Service Region 2/3
DSHS Region 4/5 - Regional Public Health Services,Texas Department of State Health Services (DSHS) - Health Service Region 4/5 North
DSHS Region 4/5 North - Case Management for Children and Pregnant Women CPW,Texas Department of State Health Services (DSHS) - Health Service Region 4/5 North
DSHS Region 4/5 North - Children with Special Health Care Needs CSHCN,Texas Department of State Health Services (DSHS) - Health Service Region 4/5 North
DSHS Region 4/5 North - Diabetes Education Program,Texas Department of State Health Services (DSHS) - Health Service Region 4/5 North
DSHS Region 6/5 - Regional Public Health Services,Texas Department of State Health Services (DSHS) - Health Service Region 6/5
DSHS Region 7 - Austin State Hospital,Texas Department of State Health Services (DSHS) - Health Service Region 7
"DSHS Region 7 - Flu Vaccine Information - Bastrop County, Elgin Office",Texas Department of State Health Services (DSHS) - Health Service Region 7
"DSHS Region 7 - Flu Vaccine Information - Burnet County, Marble Falls Office",Texas Department of State Health Services (DSHS) - Health Service Region 7
"DSHS Region 7 - Flu Vaccine Information - Caldwell County, Lockhart Office",Texas Department of State Health Services (DSHS) - Health Service Region 7
DSHS Region 7 - Lampasas Clinic,Texas Department of State Health Services (DSHS) - Health Service Region 7
"DSHS Region 7 - Public Health Nurse Services - Bastrop County, Bastrop Office",Texas Department of State Health Services (DSHS) - Health Service Region 7
"DSHS Region 7 - Public Health Nurse Services - Bastrop County, Elgin Office",Texas Department of State Health Services (DSHS) - Health Service Region 7
"DSHS Region 7 - Public Health Nurse Services - Blanco County, Blanco Office",Texas Department of State Health Services (DSHS) - Health Service Region 7
"DSHS Region 7 - Public Health Nurse Services - Burnet County, Marble Falls Office",Texas Department of State Health Services (DSHS) - Health Service Region 7
"DSHS Region 7 - Public Health Nurse Services - Caldwell County, Lockhart and Luling",Texas Department of State Health Services (DSHS) - Health Service Region 7
DSHS Region 7 - Regional Public Health Services,Texas Department of State Health Services (DSHS) - Health Service Region 7
DSHS Region 8 - Regional Public Health Services,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Region 8/11 - AIDS/HIV Control,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Region 8/11 - Center for Infectious Disease - Tuberculosis Clinics,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Region 8/11 - Center for Infectious Disease - Volunteer Recruitment/Placement,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Region 8/11 - Children's State/Local Health Insurance Programs - Children with Special Health Care Needs (CSHCN),Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Region 8/11 - Dental Sealants,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Region 8/11 - Epidemic Investigation,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Region 8/11 - Epidemic Investigation - Epidemiology Response Team,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Region 8/11 - Fluoride Treatments/Supplements,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Region 8/11 - HIV Testing,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Region 8/11 - Hospital/Institutional Visit Volunteer Opportunities,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Region 8/11 - Medical Bill Payment Assistance - Children with Special Health Care Needs (CSHCN),Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Region 8/11 - Pediatric Dentistry,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Region 8/11 - San Antonio State Hospital,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Region 8/11 - Sexually Transmitted Disease Control,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Region 8/11 - Sexually Transmitted Disease Screening,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Region 8/11 - Smoking Cessation - Tobacco Prevention/Control,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Region 8/11 - Transitional Case/Care Management - Case Management for Children and Pregnant Women,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Region 8/11 - Tuberculosis Control,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Region 9/10 - Regional Public Health Services,Texas Department of State Health Services (DSHS) - Health Service Region 9/10
DSHS San Angelo - WIC,Texas Department of State Health Services (DSHS) - Health Service Region 9/10
DSHS Seguin - Adolescent/Adult Immunizations,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Seguin - AIDS/HIV Control,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Seguin - Childhood Immunizations,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Seguin - Epidemic Investigation,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Seguin - HIV Testing,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Seguin - Sexually Transmitted Disease Control,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Seguin - Sexually Transmitted Disease Treatment,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Seguin - Tuberculosis Clinics,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Seguin - Tuberculosis Control,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Starr - Immunization Division,Texas Department of State Health Services (DSHS) - Health Service Region 8/11
DSHS Sulphur Springs - Childhood Immunizations,Texas Department of State Health Services (DSHS) - Health Service Region 4/5 North
DSHS Texarkana - Children with Special Healthcare Needs CSHCN,Texas Department of State Health Services (DSHS) - Health Service Region 4/5 North
DSHS Texarkana - Immunizations,Texas Department of State Health Services (DSHS) - Health Service Region 4/5 North
DSISD,
DSISD,Dripping Springs Independent School District (DSISD)
DSSET,
DSSET,Dental Society of Southeast Texas
DSSETX,
DSSETX,Dental Society of Southeast Texas
Dual Demonstration,Texas Health and Human Services Commission (HHSC)
Dual Diagnosis Program,Cheyenne Center
Dublin Chamber of Commerce,
Dublin City Hall,
Dublin Housing Authority,
Dublin Independent School District,
Dublin Police Department,
Dublin Senior Citizens Inc,
Dubuis Hospital of Beaumont,
"Dubuis Hospital of Beaumont, Extended Acute Care",Dubuis Hospital of Beaumont
Dubuis Hospital of Port Arthur,
"Dubuis Hospital of Port Arthur, Extended Acute Care",Dubuis Hospital of Port Arthur
Dumas Area Meals on Wheels,
Dump the Pump Day,Dallas Area Rapid Transit-DART
Dump the Pump Day,Denton County Transportation / DCTA
Duncanville ISD,
Duncanville Outreach Ministry,
Durable Medical Equipment,Area Agency on Aging Tarrant County
Durable Medical Equipment,Project MEND
Durable Medical Equipment,"Shauns Respiratory Solutions, LLP"
Durable Medical Equipment Loan Program,Community Resource and Recreation Center
Durable Medical Supplies,Hopkins County Community Action Network-DBA CANHelp
Durham Childrens Museum,Museum of the Southwest
Dustin M Sekula Memorial Library,
Duval County Government,
DVBIC,Defense Centers of Excellence for Psychological Health and Traumatic Brain Injury - DCOE
DVBIC,San Antonio Military Medical Center
DVCDC,Del Valle Independent School District (DVISD)
DVDAEP,Del Valle Independent School District (DVISD)
DVHS,Del Valle Independent School District (DVISD)
DVISD,
DVISD - Administrative and Transportation Services,Del Valle Independent School District (DVISD)
DVISD - Adopt-A-School Program,Del Valle Independent School District (DVISD)
DVISD - Child Development Center Pregnant and Parenting Teens Program,Del Valle Independent School District (DVISD)
DVISD - Dailey Middle School,Del Valle Independent School District (DVISD)
DVISD - Del Valle High School,Del Valle Independent School District (DVISD)
DVISD - Del Valle Opportunity Center,Del Valle Independent School District (DVISD)
DVISD - Discipline Alternative Education Program (DAEP),Del Valle Independent School District (DVISD)
DVISD - Guidance and Counseling Services,Del Valle Independent School District (DVISD)
DVISD - Homeless Liaison Services,Del Valle Independent School District (DVISD)
DVISD - Popham Elementary School,Del Valle Independent School District (DVISD)
DVISD - Special Education Services,Del Valle Independent School District (DVISD)
DVISD SpEd,Del Valle Independent School District (DVISD)
DVOC,Del Valle Independent School District (DVISD)
DWC,
DWC,Division of Worker's Compensation
DWI Class,Hardin County Community Supervision and Corrections
DWI Classes,"Fort Bend Regional Council on Substance Abuse, Inc."
DWI Classes,San Antonio Council on Alcohol and Drug Abuse
"DWI-Ed. Driving While Intoxicated, Education","Bay Area Council on Drugs and Alcohol, Inc."
DWI-Intervention,"Bay Area Council on Drugs and Alcohol, Inc."
Dyess Air Force Base Family Advocacy Program,
Dyess Air Force Base Family Advocacy Program,Dyess Air Force Base Family Advocacy Program
Dyess Air Force Base Family Support Center,
Dyess Air Force Base Family Support Center,Airman and Family Readiness Center
Dyess Youth Center,
Dyess Youth Center After School Care,Dyess Youth Center
Dyess Youth Center Open Recreation,Dyess Youth Center
Dyess Youth Center Summer Day Camp,Dyess Youth Center
Dyess Youth Center Teen Program,Dyess Youth Center
Dynamic Workforce Solutions,Workforce Solutions - Alamo
Dyslexia Center,
Dysplasia Clinic,UTMB Regional Maternal and Child Health of Beaumont
Dysplasia Clinic,UTMB Regional Maternal and Child Health of Orange
E TX Lighthouse For The Blind,East Texas Lighthouse For The Blind
E-Corps,
E-Corps,American Youthworks
E-Watch,City of Belton
EA,
EAC,
EAC,Extend-A-Care for Kids
Each One Teach One Adult and Family Literacy Program of San Antonio,
Each One Teach One Adult and Family Literacy Program of San Antonio,Each One Teach One Adult and Family Literacy Program of San Antonio
Eagle Mountain-Saginaw Independent School District,
Eagle Pass Chamber of Commerce,
Eagle Pass Chamber of Commerce,Eagle Pass Chamber of Commerce
Eagle Pass Independent School District,
Eagle Pass Independent School District,Eagle Pass Independent School District
Eagle Pass Kidney Dialysis Clinic,
Eagle Pass Kidney Dialysis Clinic,Eagle Pass Kidney Dialysis Clinic
Eanes Independent School District (EISD),
Eanes ISD,
Eanes ISD,Eanes Independent School District (EISD)
Eanes ISD - Administration and Transportation,Eanes Independent School District (EISD)
Eanes ISD - Guidance and Counseling Services,Eanes Independent School District (EISD)
Eanes ISD - Homeless Liaison Services,Eanes Independent School District (EISD)
Eanes ISD - Special Education Services,Eanes Independent School District (EISD)
EAP,
EAP,Spirit Reins
Early Childhood,
Early Childhood,Early Childhood Intervention - Project Ninos
Early Childhood and Pre-K,Aldine Independent School District
Early Childhood and Pre-K,Sheldon Independent School District
Early Childhood Care and Education Training Initiative,Voices for Children of San Antonio
Early Childhood Center,Flour Bluff Independent School District
Early Childhood Development Center ECDC,Neighborhood Centers Inc.
Early Childhood Development Program,Ella Austin Community Center
Early Childhood Education,Educational First Steps
Early Childhood Education,Evelyn Rubenstein Jewish Community Center of Houston
Early Childhood Education,Hidalgo County Head Start - Administration Office
Early Childhood Education,Plano ISD
Early Childhood Education BJIT,"Wesley Community Center, Inc."
Early Childhood Educator Training,Collaborative for Children
Early Childhood Intervention,
Early Childhood Intervention,Austin Travis County Integral Care (ATCIC) Child and Family Services 
Early Childhood Intervention,Betty Hardwick Center
Early Childhood Intervention,Brazos Valley Rehabilitation Center
Early Childhood Intervention,Brighton Center
Early Childhood Intervention,Easter Seals Rio Grande Valley
Early Childhood Intervention,Lakes Regional MHMR - Early Childhood Intervention
Early Childhood Intervention,North Texas Rehabilitation Center
Early Childhood Intervention,"Opportunities, Inc."
Early Childhood Intervention,Texas Panhandle Centers for Behavioral and Developmental Health
Early Childhood Intervention,The Harris Center for Mental Health and IDD Services
Early Childhood Intervention  -  Step Forward Program,Early Childhood Intervention - El Paso
Early Childhood Intervention (ECI),Austin Travis County Integral Care (ATCIC) Child and Family Services 
Early Childhood Intervention (ECI),Behavioral Health Center of Nueces County
Early Childhood Intervention (ECI),Center for Life Resources
Early Childhood Intervention (ECI),MHMR of Tarrant County
Early Childhood Intervention (ECI),Region One Education Service Center
Early Childhood Intervention (ECI) Program,"Easter Seals Central Texas, Inc."
Early Childhood Intervention (ECI) Program,Texas Department of Assistive and Rehabilitative Services (DARS) - Region 7
Early Childhood Intervention (ECI) Services,Hill Country Mental Health and Developmental Disabilities
Early Childhood Intervention (Region 16),Region 16 Education Service Center
Early Childhood Intervention - Del Rio,
Early Childhood Intervention - Del Rio,Early Childhood Intervention - Del Rio
Early Childhood Intervention - El Paso,
Early Childhood Intervention - Lytle,Camino Real Community Services - Atascosa County
Early Childhood Intervention - Project Ninos,
Early Childhood Intervention - Project Ninos,Early Childhood Intervention - Project Ninos
Early Childhood Intervention - Wilson County,Camino Real Community Services - Wilson County Intellectual and Developmental Disabilities
Early Childhood Intervention ECI,TCDN- The Learning Place
Early Childhood Intervention Homespun - Kerr County,
Early Childhood Intervention Homespun - Kerr County,Early Childhood Intervention Homespun - Kerr County
Early Childhood Intervention Homespun - Medina County,
Early Childhood Intervention Homespun - Medina County,Early Childhood Intervention Homespun - Medina County
Early Childhood Intervention Homespun - New Braunfels,
Early Childhood Intervention Homespun - New Braunfels,Early Childhood Intervention Homespun - New Braunfels
Early Childhood Intervention Program,"Center for Health Care Services, The"
Early Childhood Intervention Program,Easter Seal Rehabilitation Center
Early Childhood Intervention Program (ECI),Any Baby Can Child And Family Resource Center
Early Childhood Intervention Services,Burke Center
Early Childhood Intervention Services,Metrocare Services
Early Childhood Intervention Services - Cooke,Texoma Community Center
Early Childhood Intervention Services - Fannin,Texoma Community Center
Early Childhood Intervention Services - Grayson,Texoma Community Center
Early Childhood Intervention- Odessa,Permian Basin Community Centers
Early Childhood Learning Center,La Marque Independent School District
Early Childhood Matters,Fort Worth Public Library
Early Childhood Professional Development Courses,Camp Fire First Texas
Early Childhood Program,Center for Transforming Lives
Early Connections InfoLine,Collaborative for Children
"Early Detection for Breast, Prostate and Colorectal Cancer","American Cancer Society, San Antonio Metropolitan Unit"
Early Head Start,
Early Head Start,"Central Texas 4C, Inc"
Early Head Start,Child Care Associates
Early Head Start,College Station Independent School District
Early Head Start,Community Action Corporation of South Texas
Early Head Start,"Community Action, Inc. of Central Texas"
Early Head Start,"Head Start Of Greater Dallas, Inc."
Early Head Start,"Motivation Education & Training, Inc."
Early Head Start,Neighborhood Centers Inc.
Early Head Start,"Opportunities, Inc."
Early Head Start,Texas Neighborhood Services
Early Head Start Program or Head Start Program (T),ESC Region 19 Head Start Program
Early Identification Programs,Region III Education Service Center
Early Intervention,Betty Hardwick Center
Early Intervention for Children with Disabilities/Delays,Andrews Center
Early Intervention Services of South Texas,Alamo Area Resource Center
Early On School Readiness,"AVANCE - San Antonio, Inc."
Early On School Readiness,City of San Antonio - Department of Human Services
Early On School Readiness Program,Northside Independent School District
Early Risers Exercise,Senior Services of West University
Early Stage Engagement and Enrichment Programs,Alzheimer's Association - Greater Dallas Headquarters Chapter
Early Thanksgiving Lunch Meal,"Mustard Seed Community Cafe, The"
Early Voting,Austin County Tax Assessor-Collector
Earn While You Learn Classes,
Earn While You Learn Classes,"Pregnancy Help Center of the Concho Valley, Inc."
Earn While You Learn Parenting Classes,The Pregnancy Resource Center
Earnest M. Olivares Senior Community,United States Department of Housing and Urban Development
"Earth, City of",
"Earth, City of","Earth, City of"
Earth911.com,
Earth911.com - Environmental Information,Earth911.com
East Bernard Independent School District,
East Central Independent School District,
East Central Independent School District Adult Education,East Central Independent School District
East Central Independent School District Main Office,East Central Independent School District
East Central ISD,East Central Independent School District
East Chambers Independent School District,
East Cleburne Community Center,
"East Fort Bend Human Needs Ministry, Inc.",
East Hachar Recreation Center,City of Laredo - Parks and Leisure Services Department
East Harris County Senior Citizens Program,Harris County Precinct 2
East Harris County Youth Program,Harris County Precinct 2
East Houston Regional Medical Center,
East Montgomery Community Clinic,
East Parker County Chamber of Commerce,
"East Sabine Senior Services, Inc",
"East Sabine Senior Services, Inc","East Sabine Senior Services, Inc"
East Saint Paul Baptist Church / Jeremiah food Pantry,
East Side Preventive Health Clinic,"University Health System, Bexar County, Texas"
East Spring Branch Food Pantry,
East Spring Branch Food Pantry,East Spring Branch Food Pantry
East St Paul Baptist Church / Jeremiah Food Pantry,
East St. Paul Baptist Church,
East Texas Aging & Disability Resource Center,Community Healthcore ET
East Texas Angel Network,
East Texas Angel Network,East Texas Angel Network
East Texas Anti-Trafficing on Domestic Minor Sex Trafficking,"Longview, City of"
East Texas Area Council,
East Texas Border Health Clinic Marshall,Genesis Primecare dba East Texas Border Health
East Texas CASA,
East Texas CASA,East Texas CASA
East Texas Celiac Support Group,
East Texas Celiac Support Group,East Texas Celiac Support Group
East Texas Center For Independent Living,
East Texas Center for Independent Living,East Texas Center For Independent Living
East Texas Center for Nonprofits,United Way Of Smith County
"East Texas Community Health Services, Inc.",
East Texas Council Of Governments,
East Texas Council on Alcoholism & Drug Abuse,
East Texas Crisis Center,
